2037402630266Alejandro                                         Cruz Martinez                                     1992-08-24M+502 4174-8896alejandro.cruzmartinez@gmail.com                                                                    B+ 
2357988257458Mariana                                           Castaneda Ruiz                                    2018-07-19F+502 8312-4196mariana.castanedaruiz@gmail.com                                                                     B- 
2809791989778Francisco                                         Ramirez Estrada                                   1990-01-21M+502 6551-9605francisco.ramirezestrada@gmail.com                                                                  AB+
2470891522508Laura                                             Estrada Gomez                                     1957-12-21F+502 6183-9569laura.estradagomez@gmail.com                                                                        AB-
2021851622302Miguel                                            Morales Vargas                                    1976-01-22M+502 7254-2438miguel.moralesvargas@gmail.com                                                                      O+ 
2667649694864Patricia                                          Salazar Cruz                                      1995-04-04F+502 7949-5108patricia.salazarcruz@gmail.com                                                                      O- 
2208061961108Carlos                                            Salazar Ramos                                     1960-07-17M+502 7987-8003carlos.salazarramos@gmail.com                                                                       A+ 
2793331521377Andrea                                            Lopez Ramirez                                     2018-02-13F+502 5681-7209andrea.lopezramirez@gmail.com                                                                       A- 
2776018107491Roberto                                           Lopez Rios                                        2010-09-10M+502 7761-3671roberto.lopezrios@gmail.com                                                                         B+ 
2840881357201Camila                                            Estrada Guzman                                    2010-01-26F+502 6191-4142camila.estradaguzman@gmail.com                                                                      B- 
2446160536441Luis                                              Gonzalez Alvarez                                  1983-03-02M+502 8708-7343luis.gonzalezalvarez@gmail.com                                                                      AB+
2992796075683Claudia                                           Cruz Morales                                      1993-02-11F+502 7359-0095claudia.cruzmorales@gmail.com                                                                       AB-
2372923391073Andres                                            Aguilar Ramirez                                   1999-08-19M+502 8048-0087andres.aguilarramirez@gmail.com                                                                     O+ 
2556823075992Valentina                                         Mendoza Ruiz                                      1997-06-07F+502 5528-0972valentina.mendozaruiz@gmail.com                                                                     O- 
2658796952336Fernando                                          Aguilar Castillo                                  2017-11-26M+502 8894-5584fernando.aguilarcastillo@gmail.com                                                                  A+ 
2797933616646Valentina                                         Garcia Alvarez                                    1981-10-14F+502 6080-4855valentina.garciaalvarez@gmail.com                                                                   A- 
2362071484478Jose                                              Ramos Fuentes                                     2016-05-19M+502 7165-6814jose.ramosfuentes@gmail.com                                                                         B+ 
2020407849485Paola                                             Castaneda Salazar                                 1999-03-03F+502 4011-2539paola.castanedasalazar@gmail.com                                                                    B- 
2209065059134Pedro                                             Castillo Garcia                                   1956-10-09M+502 7499-2685pedro.castillogarcia@gmail.com                                                                      AB+
2568889544892Carmen                                            Mendoza Gonzalez                                  1990-02-07F+502 7606-3750carmen.mendozagonzalez@gmail.com                                                                    AB-
2291694288854Miguel                                            Hernandez Martinez                                2014-02-17M+502 8158-4593miguel.hernandezmartinez@gmail.com                                                                  O+ 
2974050014568Elena                                             Castillo Vargas                                   2004-09-08F+502 8894-8727elena.castillovargas@gmail.com                                                                      O- 
2691209174781Manuel                                            Lopez Aguilar                                     1990-11-22M+502 5900-1741manuel.lopezaguilar@gmail.com                                                                       A+ 
2060987972544Lucia                                             Rios Gomez                                        1982-04-12F+502 8433-2948lucia.riosgomez@gmail.com                                                                           A- 
2489287084852Roberto                                           Martinez Reyes                                    1990-02-23M+502 4723-6475roberto.martinezreyes@gmail.com                                                                     B+ 
